CODE;G_WOULD;G_WOULD_PASSIVE;G_WOULD_PROGRESSIVE;G_WOULD_PERFECT;G_WOULD_PERFECT_PASSIVE;G_SHOULD;G_SHOULD_PASSIVE;G_SHALL;G_SHALL_PASSIVE;G_SHOULD_PROGRESSIVE;G_SHOULD_PERFECT;G_SHOULD_PERFECT_PASSIVE;G_MUST;G_MUST_PASSIVE;G_MUST_PROGRESSIVE;G_MUST_PERFECT;G_MST_PERFECT_PASSIVE;G_CAN;G_CAN_PASSIVE;G_COULD;G_COULD_PASSIVE;G_CAN_PROGRESSIVE;G_COULD_PROGRESSIVE;G_COULD_PERFECT_PASSIVE;G_MAY;G_MAY_PASSIVE;G_MIGHT;G_MIGHT_PASSIVE;G_MAY_PROGRESSIVE;G_MIGTH_PERFECT;G_MIGHT_PERFECT_PASSIVE;G_MAY_PERFECT_PASSIVE;G_ADJ_POSITIVE;G_ADJ_COMPARATIVE;G_ADJ_SUPERLATIVE;G_ADV_POSITIVE;G_ADV_COMPARATIVE;G_ADV_SUPERLATIVE;SY_QUESTION;SY_SPECIAL_QUESTION;SY_TAG_QUESTION;SY_EXCLAMATION;SY_IMPERATIVE;SY_SUBORD_SENT;SY_SUBORD_SENT_PUNCT;SY_COORD_SENT;SY_COORD_SENT_PUNCT;SY_SIMPLE_SENT;SY_DIRECT_SPEECH;SY_INVERSE_PATTERNS;SY_INVALID_ARTICLES;SY_SENT_START_ADV;SY_SENT_START_ADJ;SY_FALSE_ROOT_TOKEN;SY_DT_N_AUX;SY_PRN_AUX_PRT;SY_PRN_VB_ADP;SY_VB_PART_VB;SY_SCNJ_PRN_AUX;SY_PRN_AUX_ADV;SY_ADP_PRN_N;SY_ADP_N_PUN;SY_PRN_N_PUN;SY_V_ADP_PRN;SY_ADP_DET_ADJ;SY_ADJ_ADJ_N;L_TYPE_TOKEN_RATIO_LEMMAS;L_PROPER_NAME;L_PERSONAL_NAME;L_PUNCT;L_PUNCT_COM;L_PUNCT_SEMC;L_PUNCT_COL;L_PUNCT_DASH;L_CONT_A;L_FUNC_A;L_CONT_T;L_FUNC_T;L_SYL_G2;L_I_PRON;L_HE_PRON;L_SHE_PRON;L_IT_PRON;L_YOU_PRON;L_WE_PRON;L_THEY_PRON;L_ME_PRON;L_YOU_OBJ_PRON;L_HIM_PRON;L_HER_OBJECT_PRON;L_IT_OBJECT_PRON;L_US_PRON;L_THEM_PRON;L_MY_PRON;L_YOUR_PRON;L_HIS_PRON;L_HER_PRON;L_ITS_PRON;L_OUR_PRON;L_THEIR_PRON;L_YOURS_PRON;L_THEIRS_PRON;L_HERS_PRON;L_OURS_PRON;L_MYSELF_PRON;L_YOURSELF_PRON;L_HIMSELF_PRON;L_HERSELF_PRON;L_ITSELF_PRON;L_OURSELVES_PRON;L_YOURSELVES_PRON;L_THEMSELVES_PRON;L_POSSESSIVES;L_PLURAL_NOUNS;L_SINGULAR_NOUNS;L_NOUN_PHRASES;POS_VERB;POS_NOUN;POS_ADJ;POS_ADV;POS_DET;POS_INTJ;POS_CONJ;POS_PART;POS_NUM;POS_PREP;VT_PRESENT_ACTIVE;VT_PRESENT_PASSIVE;VT_PAST_ACTIVE;VT_PAST_PASSIVE;VT_FUTURE_ACTIVE;VT_FUTURE_PASSIVE;VT_MODALS_ACTIVE;VT_MODALS_PASSIVE;VT_PRESENT_SIMPLE;VT_PRESENT_SIMPLE_3DPERSN;VT_PRESENT_PROGRESSIVE;VT_PRESENT_PERFECT;VT_PRESENT_PERFECT_PROGR;VT_PRESENT_SIMPLE_PASSIVE;VT_PRESENT_PROGR_PASSIVE;VT_PRESENT_PERFECT_PASSIVE;VT_PAST_SIMPLE;VT_PAST_SIMPLE_BE;VT_PAST_PROGR;VT_PAST_PERFECT;VT_PAST_PERFECT_PROGR;VT_PAST_SIMPLE_PASSIVE;VT_PAST_POGR_PASSIVE;VT_PAST_PERFECT_PASSIVE;VT_FUTURE_SIMPLE;VT_FUTURE_PROGRESSIVE;VT_FUTURE_PERFECT;VT_FUTURE_PERFECT_PROGR;VT_FUTURE_SIMPLE_PASSIVE;VT_FUTURE_PROGR_PASSIVE;VT_FUTURE_PERFECT_PASSIVE
DESCRIPTION;Would Simple Incidence;Would Passive Incidence;Would Continuous Incidence;Would Perfect Incidence;Would Perfect Passive Incidence;Should Simple Incidence;Should Simple Passive Incidence;Shall Simple Incidence;Shall Simple Passive Incidence;Should Continuous Incidence;Should Perfect Incidence;Should Perfect Passive Incidence;Must Simple Incidence;Must Simple Passive Incidence;Must Continuous Incidence;Must Perfect Incidence;Must Perfect Passive Incidence;Can Simple Incidence;Can Simple Passive Incidence;Could Simple Incidence;Could Simple Passive Incidence;Can Continuous Incidence;Could Continuous Incidence;Could Perfect Passive Incidence;May Simple Incidence;May Simple Passive Incidence;Might Simple Incidence;Might Simple Passive Incidence;May Continuous Incidence;Might Perfect Incidence;Might Perfect Passive Incidence;May Perfect Passive Incidence;Adjectives Positive Degree Incidence;Adjectives Comparative Degree Incidence;Adjectives Superlative Degree Incidence;Adverbs Positive Degree Incidence;Adverbs Comparative Degree Incidence;Adverbs Superlative Degree Incidence;Words in questions incidence;Words in special questions;Words in tag questions;Words in exclamatory sentences incidence;Words in imperative sentences incidence;Words in subordinate sentences incidence;Punctuation in subordinate sentences incidence;Words in coordinate sentences incidence;Punctuation in coordinate sentences incidence;Words in simple sentences incidence;Number of words in direct speech;Incidents of inverse patterns;Incidence of invalid usage of indefinite articles before nouns;Incidence of sentences that start with adverb;Incidence of sentences that start with adjective;Incidents of sentences whose root token is not a verb;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Type-token ratio for words lemmas;Incidence of proper names;Incidence of personal names;Incidence of punctuation;Incidence of comma;Incidence of semicolon;Incidence of colon;Incidence of dashes;Incidence of Content words;Incidence of Function words;Incidence of Content words types;Incidence of Function words types;Incidence of Words formed of more than 2 syllables;Incidence of 'I'-pronoun;Incidence of 'he'-pronoun;Incidence of 'she'-pronoun;Incidence of 'it'-pronoun;Incidence of 'you'-pronoun;Incidence of 'we'-pronoun;Incidence of 'they'-pronoun;Incidence of 'me'-pronoun;Incidence of 'you'-object pronoun;Incidence of 'him'-object pronoun;Incidence of 'her'-object pronoun;Incidence of 'it'-pronoun;Incidence of 'us'-pronoun;Incidence of 'them'-pronoun;Incidence of 'my'-pronoun;Incidence of 'your'-pronoun;Incidence of 'his'-pronoun;Incidence of 'her'-possessive pronoun;Incidence of 'its'-possessive pronoun;Incidence of 'our'-possessive pronoun;Incidence of 'their'-possessive pronoun;Incidence of 'yours'-pronoun;Incidence of 'theirs'-pronoun;Incidence of 'hers'-pronoun;Incidence of 'ours'-possessive pronoun;Incidence of 'myself'-pronoun;Incidence of 'yourself'-pronoun;Incidence of 'himself'-pronoun;Incidence of 'herself'-pronoun;Incidence of 'itself'-pronoun;Incidence of 'ourselves'-pronoun;Incidence of 'yourselves'-pronoun;Incidence of 'themselves'-pronoun;Incidence of nouns in possessive case;Incidence of nouns in plural;Incidence of nouns in singular;Incidence of noun phrases;Incidence of Verbs;Incidence of Nouns;Incidence of Adjectives;Incidence of Adverbs;Incidence of Determiners;Incidence of Interjections;Incidence of Conjunctions;Incidence of Particles;Incidence of Numerals;Incidence of Prepositions;Present Tenses Active;Present Tenses Passive;Past Tenses Active;Past Tenses Passive;Future Tenses Active;Future Tenses Passive;Modal Verbs Active;Modal Verbs Active;Present Simple Tense Incidence;Present Simple 3rd Person Incidence;Present Continuous Tense Incidence;Present Perfect Tense Incidence;Present Prefect Continuous Tense Incidence;Present Simple Passive Incidence;Present Continuous Passive Incidence;Present Perfect Passive Incidence;Past Simple Tense Incidence;Past Simple  Incidence'to be';Past Continuous Tense Incidence;Past Perfect Tense Incidence;Past Perfect Continuous Tense Incidence;Past Simple Passive Incidence;Past Continuous Passive Incidence;Past Perfect Passive Incidence;Future Simple Tense Incidence;Future Continuous Tense Incidence;Future Perfect Tense Incidence;Future Perfect Continuous Incidence;Future Simple Passive Incidence;Future Continuous Passive Incidence;Present Perfect Passive Incidence
MEDIAN;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,04878048780487805;0,0;0,0;0,038461538461538464;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9210526315789473;0,0;0,0;0,0;0,0;0,0;0,16666666666666666;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8333333333333334;0,0;0,0;0,07692307692307693;0,0;0,0;0,0;0,0;0,46153846153846156;0,43636363636363634;0,4482758620689655;0,38028169014084506;0,045454545454545456;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,045454545454545456;0,12;0,45454545454545453;0,2;0,21739130434782608;0,07692307692307693;0,008928571428571428;0,0594059405940594;0,0;0,034482758620689655;0,0;0,0;0,0625;0,07692307692307693;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,02564102564102564;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
MEAN;0,006393918221241685;0,0;0,0001649620587264929;0,0004955182147186606;0,0;0,005600141168161296;0,0019985787884171254;0,0;0,00010264305876315115;0,0;7,142687078879074e-05;3,680428401865977e-05;0,001528785277781832;0,0;0,0;0,00034543337083752787;0,0;0,007459744073607436;0,0003466821678632962;0,0009297664032075117;0,0;0,0;0,0;0,0;9,426403355799595e-05;0,0;0,00010741715451957677;0,0;0,0;0,0;0,0;0,0;0,07430141323930792;0,002889793742625152;0,002637871486837094;0,04894320878527221;0,00012830382345393893;0,0008196599116733828;0,05765708267897575;0,028848278672365304;0,16782978444829383;0,06558197676167184;0,09343819126168487;0,2380205194748044;0,014825176348193128;0,29068292566993864;0,023572613599309962;0,9175300019365638;0,0005132152938157557;0,011195150979183728;0,024786796598320095;0,04756290418237287;0,08652269317470568;0,35245779409334266;0,010522368160571569;0,013244763151957915;0,009234070046364798;0,011956697231047099;0,013439129140378371;0,008281406987462374;0,014501936904255126;0,012853621004879825;0,013012465399124233;0,011783267359777017;0,016024981475109525;0,027923349353829337;0,8307422941697034;0,04749219074620452;0,005832840621937596;0,08153700288004594;0,014954683262338097;0,00038491147036181676;0,0003654762852819713;0,0;0,4948432183293179;0,41880831900632315;0,4808308311844296;0,3733331093354593;0,06636817530440191;0,02360860153500509;0,0021721456836706204;0,001225376726913662;0,0035546754645771977;0,010129639297396263;0,0029356387990770003;0,009409714913785278;0,0017157581769299678;0,005803494137377155;0,0021413791365788213;0,0013132951178939731;0,002329935794210301;0,0008939806002825019;0,005891182802056996;0,0044033672098042495;0,007270095847383035;0,0014900254759587113;0,0008309952913251513;0,0014114313245195075;0,0019658119236914294;0,0032497213562919336;0,00028445070537002297;0,0;0,0;0,0;0,0002658087179125428;0,0019834261649232443;0,0;0,0;8,882572392965004e-05;0,0;5,4987352908830963e-05;0,0006111349576469385;0,001739637164153999;0,06568807888412083;0,12671313603984813;0,47181122689559013;0,2055551488482132;0,23989340567017348;0,09995869840164476;0,038170780603692334;0,06714909165102763;0,010928364044461554;0,04304157170013994;0,033183249016384746;0,003752347596333041;0,06720246393834892;0,08287366867954689;0,004969677255078337;0,010371196923550091;0,0006958015041155918;0,01848095812189362;0,000959899912675257;0,023191376847148806;0,002484708299062233;0,04859003381007003;0,025758546689760197;0,005631234120726945;0,002637246412081842;0,00025660764690787786;0,0041009115539482185;0,0006298551333193365;0,00023891056781078282;0,007662747442665622;0,0023331429240607132;0,0002956697008868288;7,963685593692761e-05;0,0;0,0005033457689346835;0,0;0,00019245573518090838;0,017651283046777752;0,00025049794102911886;0,0005791771340867462;0,0;0,000959899912675257;0,0;0,0
SD;0,029681521866381462;0,0;0,0034326380809443766;0,007287245756126018;0,0;0,02892245237125478;0,021735151920511106;0,0;0,0021358636948098342;0,0;0,001486296901027462;0,0007658475399716537;0,01763727175254538;0,0;0,0;0,00564647168770166;0,0;0,03235356056877052;0,005181348111952286;0,00938346778695219;0,0;0,0;0,0;0,0;0,0019615074748253578;0,0;0,0022352061922428497;0,0;0,0;0,0;0,0;0,0;0,10145070128528885;0,016598180277325264;0,015106482165510058;0,055966639916594674;0,002669829618512293;0,006914951519080625;0,19082665032256838;0,13579152757549645;0,32047458568042353;0,2065426088462901;0,2515950321067822;0,3727269152431474;0,034473173460258695;0,3900069233873503;0,046886108237304325;0,07273831933724224;0,010679318474049172;0,0348250552833855;0,14548925253231074;0,17091006020916694;0,2565709991523498;0,40031583756395084;0,043869662792600565;0,04579178420765792;0,038939905912207834;0,043854454593312706;0,048134756207581966;0,033022146142369174;0,04995237511339909;0,046498189377690374;0,043534955364836335;0,04247138992092738;0,05583654324357415;0,09939830407072106;0,1256116389030194;0,07985396434485513;0,029397586139548255;0,07189496903861664;0,032426641055481;0,008009488855536878;0,003826070722566233;0,0;0,15052115341639102;0,14502941658499457;0,15475040579863436;0,13181005211946972;0,08342659722681071;0,04720604594984242;0,011732512731429825;0,00820173160206557;0,013932665671030697;0,028944420736064787;0,013322611792463912;0,023122955092596677;0,010209041701586838;0,022054220489201023;0,013779844061687972;0,010670200606160203;0,015061685741349189;0,006162599853068872;0,02203466974914416;0,02005549238724573;0,023401917798438327;0,01213936522193618;0,0072242860739809515;0,012851914666983398;0,01144039723924593;0,013630260514093414;0,004632316673034215;0,0;0,0;0,0;0,005342647785483396;0,015083453984396795;0,0;0,0;0,001848343582046972;0,0;0,0011442126936481256;0,006603079529542472;0,014746841298291614;0,08288298759555822;0,09876754415603285;0,1604029572335619;0,09431069106414527;0,11316255003378183;0,10491217353119303;0,05000000720907606;0,06927760406576536;0,04019930555347791;0,0481724301377277;0,04375586895513161;0,015740064080458607;0,061014287613857084;0,07438582338574336;0,02983169587172052;0,02959861966822519;0,009272425082013645;0,055280791142229786;0,010554901520462056;0,05503764849917848;0,022817743304091257;0,060804465182612254;0,0447407784981715;0,03024502087123912;0,013750665903693216;0,005339659237024586;0,02647414079853637;0,013106436309060348;0,004971406875850477;0,02633086507804855;0,01125762699699898;0,004837024816603836;0,0016571356252834922;0,0;0,008374609304934614;0,0;0,004004744427768439;0,05462137905247356;0,003862992901912048;0,009337901365257422;0,0;0,010554901520462056;0,0;0,0
1;0,0;0,0;0,0;0,0;0,0;0,2222222222222222;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5555555555555556;0,4444444444444444;0,5555555555555556;0,4444444444444444;0,0;0,0;0,0;0,0;0,0;0,1111111111111111;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1111111111111111;0,2222222222222222;0,1111111111111111;0,6666666666666666;0,3333333333333333;0,3333333333333333;0,0;0,0;0,1111111111111111;0,0;0,0;0,1111111111111111;0,0;0,0;0,1111111111111111;0,0;0,0;0,0;0,0;0,0;0,2222222222222222;0,0;0,1111111111111111;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,08;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,12;0,0;0,0;0,0;0,0;0,0;0,68;0,68;0,0;0,0;0,0;0,92;0,08;0,0;0,0;0,92;0,0;0,0;0,0;0,0;0,0;0,24;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,12;0,0;0,0;0,92;0,0;0,0;0,08;0,0;0,0;0,0;0,0;0,48;0,44;0,48;0,44;0,08;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,04;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,08;0,16;0,44;0,24;0,24;0,12;0,0;0,04;0,0;0,12;0,04;0,0;0,12;0,12;0,0;0,0;0,0;0,0;0,0;0,08;0,0;0,08;0,0;0,0;0,04;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
100;0,11764705882352941;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,058823529411764705;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,17647058823529413;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9411764705882353;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,23529411764705882;0,7647058823529411;0,23529411764705882;0,7058823529411765;0,0;0,11764705882352941;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,058823529411764705;0,0;0,0;0,0;0,058823529411764705;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,058823529411764705;0,0;0,35294117647058826;0,29411764705882354;0,058823529411764705;0,0;0,0;0,058823529411764705;0,0;0,058823529411764705;0,11764705882352941;0,058823529411764705;0,11764705882352941;0,0;0,0;0,0;0,0;0,0;0,0;0,11764705882352941;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
101;0,2222222222222222;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8888888888888888;0,1111111111111111;0,0;0,0;0,0;0,0;0,0;0,0;0,3333333333333333;0,6666666666666666;0,3333333333333333;0,5555555555555556;0,0;0,3333333333333333;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1111111111111111;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1111111111111111;0,5555555555555556;0,3333333333333333;0,2222222222222222;0,0;0,0;0,0;0,0;0,1111111111111111;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1111111111111111;0,0;0,2222222222222222;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1111111111111111;0,0;0,0;0,0;0,0;0,0;0,0
102;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,03571428571428571;0,0;0,0;0,07142857142857142;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,6071428571428571;0,03571428571428571;0,9642857142857143;0,0;0,03571428571428571;0,0;0,0;0,0;0,35714285714285715;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8571428571428571;0,0;0,0;0,03571428571428571;0,0;0,0;0,0;0,0;0,5;0,42857142857142855;0,4642857142857143;0,42857142857142855;0,0;0,03571428571428571;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,03571428571428571;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,39285714285714285;0,5714285714285714;0,10714285714285714;0,39285714285714285;0,03571428571428571;0,07142857142857142;0,10714285714285714;0,0;0,03571428571428571;0,03571428571428571;0,0;0,07142857142857142;0,03571428571428571;0,0;0,0;0,0;0,07142857142857142;0,0;0,0;0,0;0,0;0,0;0,03571428571428571;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,07142857142857142;0,0;0,0;0,0;0,0;0,0
103;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,09523809523809523;0,0;0,0;0,047619047619047616;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9523809523809523;0,0;0,047619047619047616;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,14285714285714285;0,0;0,8095238095238095;0,0;0,0;0,047619047619047616;0,0;0,0;0,0;0,0;0,38095238095238093;0,5714285714285714;0,38095238095238093;0,42857142857142855;0,047619047619047616;0,14285714285714285;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,047619047619047616;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,19047619047619047;0,47619047619047616;0,19047619047619047;0,19047619047619047;0,09523809523809523;0,047619047619047616;0,09523809523809523;0,0;0,0;0,0;0,0;0,14285714285714285;0,047619047619047616;0,0;0,14285714285714285;0,0;0,0;0,0;0,0;0,0;0,047619047619047616;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,047619047619047616;0,09523809523809523;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
