CODE;G_WOULD;G_WOULD_PASSIVE;G_WOULD_PROGRESSIVE;G_WOULD_PERFECT;G_WOULD_PERFECT_PASSIVE;G_SHOULD;G_SHOULD_PASSIVE;G_SHALL;G_SHALL_PASSIVE;G_SHOULD_PROGRESSIVE;G_SHOULD_PERFECT;G_SHOULD_PERFECT_PASSIVE;G_MUST;G_MUST_PASSIVE;G_MUST_PROGRESSIVE;G_MUST_PERFECT;G_MST_PERFECT_PASSIVE;G_CAN;G_CAN_PASSIVE;G_COULD;G_COULD_PASSIVE;G_CAN_PROGRESSIVE;G_COULD_PROGRESSIVE;G_COULD_PERFECT_PASSIVE;G_MAY;G_MAY_PASSIVE;G_MIGHT;G_MIGHT_PASSIVE;G_MAY_PROGRESSIVE;G_MIGTH_PERFECT;G_MIGHT_PERFECT_PASSIVE;G_MAY_PERFECT_PASSIVE;G_ADJ_POSITIVE;G_ADJ_COMPARATIVE;G_ADJ_SUPERLATIVE;G_ADV_POSITIVE;G_ADV_COMPARATIVE;G_ADV_SUPERLATIVE;SY_QUESTION;SY_SPECIAL_QUESTION;SY_TAG_QUESTION;SY_EXCLAMATION;SY_IMPERATIVE;SY_SUBORD_SENT;SY_SUBORD_SENT_PUNCT;SY_COORD_SENT;SY_COORD_SENT_PUNCT;SY_SIMPLE_SENT;SY_DIRECT_SPEECH;SY_INVERSE_PATTERNS;SY_INVALID_ARTICLES;SY_SENT_START_ADV;SY_SENT_START_ADJ;SY_FALSE_ROOT_TOKEN;SY_DT_N_AUX;SY_PRN_AUX_PRT;SY_PRN_VB_ADP;SY_VB_PART_VB;SY_SCNJ_PRN_AUX;SY_PRN_AUX_ADV;SY_ADP_PRN_N;SY_ADP_N_PUN;SY_PRN_N_PUN;SY_V_ADP_PRN;SY_ADP_DET_ADJ;SY_ADJ_ADJ_N;L_TYPE_TOKEN_RATIO_LEMMAS;L_PROPER_NAME;L_PERSONAL_NAME;L_PUNCT;L_PUNCT_COM;L_PUNCT_SEMC;L_PUNCT_COL;L_PUNCT_DASH;L_CONT_A;L_FUNC_A;L_CONT_T;L_FUNC_T;L_SYL_G2;L_I_PRON;L_HE_PRON;L_SHE_PRON;L_IT_PRON;L_YOU_PRON;L_WE_PRON;L_THEY_PRON;L_ME_PRON;L_YOU_OBJ_PRON;L_HIM_PRON;L_HER_OBJECT_PRON;L_IT_OBJECT_PRON;L_US_PRON;L_THEM_PRON;L_MY_PRON;L_YOUR_PRON;L_HIS_PRON;L_HER_PRON;L_ITS_PRON;L_OUR_PRON;L_THEIR_PRON;L_YOURS_PRON;L_THEIRS_PRON;L_HERS_PRON;L_OURS_PRON;L_MYSELF_PRON;L_YOURSELF_PRON;L_HIMSELF_PRON;L_HERSELF_PRON;L_ITSELF_PRON;L_OURSELVES_PRON;L_YOURSELVES_PRON;L_THEMSELVES_PRON;L_POSSESSIVES;L_PLURAL_NOUNS;L_SINGULAR_NOUNS;L_NOUN_PHRASES;POS_VERB;POS_NOUN;POS_ADJ;POS_ADV;POS_DET;POS_INTJ;POS_CONJ;POS_PART;POS_NUM;POS_PREP;VT_PRESENT_ACTIVE;VT_PRESENT_PASSIVE;VT_PAST_ACTIVE;VT_PAST_PASSIVE;VT_FUTURE_ACTIVE;VT_FUTURE_PASSIVE;VT_MODALS_ACTIVE;VT_MODALS_PASSIVE;VT_PRESENT_SIMPLE;VT_PRESENT_SIMPLE_3DPERSN;VT_PRESENT_PROGRESSIVE;VT_PRESENT_PERFECT;VT_PRESENT_PERFECT_PROGR;VT_PRESENT_SIMPLE_PASSIVE;VT_PRESENT_PROGR_PASSIVE;VT_PRESENT_PERFECT_PASSIVE;VT_PAST_SIMPLE;VT_PAST_SIMPLE_BE;VT_PAST_PROGR;VT_PAST_PERFECT;VT_PAST_PERFECT_PROGR;VT_PAST_SIMPLE_PASSIVE;VT_PAST_POGR_PASSIVE;VT_PAST_PERFECT_PASSIVE;VT_FUTURE_SIMPLE;VT_FUTURE_PROGRESSIVE;VT_FUTURE_PERFECT;VT_FUTURE_PERFECT_PROGR;VT_FUTURE_SIMPLE_PASSIVE;VT_FUTURE_PROGR_PASSIVE;VT_FUTURE_PERFECT_PASSIVE
DESCRIPTION;Would Simple Incidence;Would Passive Incidence;Would Continuous Incidence;Would Perfect Incidence;Would Perfect Passive Incidence;Should Simple Incidence;Should Simple Passive Incidence;Shall Simple Incidence;Shall Simple Passive Incidence;Should Continuous Incidence;Should Perfect Incidence;Should Perfect Passive Incidence;Must Simple Incidence;Must Simple Passive Incidence;Must Continuous Incidence;Must Perfect Incidence;Must Perfect Passive Incidence;Can Simple Incidence;Can Simple Passive Incidence;Could Simple Incidence;Could Simple Passive Incidence;Can Continuous Incidence;Could Continuous Incidence;Could Perfect Passive Incidence;May Simple Incidence;May Simple Passive Incidence;Might Simple Incidence;Might Simple Passive Incidence;May Continuous Incidence;Might Perfect Incidence;Might Perfect Passive Incidence;May Perfect Passive Incidence;Adjectives Positive Degree Incidence;Adjectives Comparative Degree Incidence;Adjectives Superlative Degree Incidence;Adverbs Positive Degree Incidence;Adverbs Comparative Degree Incidence;Adverbs Superlative Degree Incidence;Words in questions incidence;Words in special questions;Words in tag questions;Words in exclamatory sentences incidence;Words in imperative sentences incidence;Words in subordinate sentences incidence;Punctuation in subordinate sentences incidence;Words in coordinate sentences incidence;Punctuation in coordinate sentences incidence;Words in simple sentences incidence;Number of words in direct speech;Incidents of inverse patterns;Incidence of invalid usage of indefinite articles before nouns;Incidence of sentences that start with adverb;Incidence of sentences that start with adjective;Incidents of sentences whose root token is not a verb;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Incidents of syntactic trigrams;Type-token ratio for words lemmas;Incidence of proper names;Incidence of personal names;Incidence of punctuation;Incidence of comma;Incidence of semicolon;Incidence of colon;Incidence of dashes;Incidence of Content words;Incidence of Function words;Incidence of Content words types;Incidence of Function words types;Incidence of Words formed of more than 2 syllables;Incidence of 'I'-pronoun;Incidence of 'he'-pronoun;Incidence of 'she'-pronoun;Incidence of 'it'-pronoun;Incidence of 'you'-pronoun;Incidence of 'we'-pronoun;Incidence of 'they'-pronoun;Incidence of 'me'-pronoun;Incidence of 'you'-object pronoun;Incidence of 'him'-object pronoun;Incidence of 'her'-object pronoun;Incidence of 'it'-pronoun;Incidence of 'us'-pronoun;Incidence of 'them'-pronoun;Incidence of 'my'-pronoun;Incidence of 'your'-pronoun;Incidence of 'his'-pronoun;Incidence of 'her'-possessive pronoun;Incidence of 'its'-possessive pronoun;Incidence of 'our'-possessive pronoun;Incidence of 'their'-possessive pronoun;Incidence of 'yours'-pronoun;Incidence of 'theirs'-pronoun;Incidence of 'hers'-pronoun;Incidence of 'ours'-possessive pronoun;Incidence of 'myself'-pronoun;Incidence of 'yourself'-pronoun;Incidence of 'himself'-pronoun;Incidence of 'herself'-pronoun;Incidence of 'itself'-pronoun;Incidence of 'ourselves'-pronoun;Incidence of 'yourselves'-pronoun;Incidence of 'themselves'-pronoun;Incidence of nouns in possessive case;Incidence of nouns in plural;Incidence of nouns in singular;Incidence of noun phrases;Incidence of Verbs;Incidence of Nouns;Incidence of Adjectives;Incidence of Adverbs;Incidence of Determiners;Incidence of Interjections;Incidence of Conjunctions;Incidence of Particles;Incidence of Numerals;Incidence of Prepositions;Present Tenses Active;Present Tenses Passive;Past Tenses Active;Past Tenses Passive;Future Tenses Active;Future Tenses Passive;Modal Verbs Active;Modal Verbs Active;Present Simple Tense Incidence;Present Simple 3rd Person Incidence;Present Continuous Tense Incidence;Present Perfect Tense Incidence;Present Prefect Continuous Tense Incidence;Present Simple Passive Incidence;Present Continuous Passive Incidence;Present Perfect Passive Incidence;Past Simple Tense Incidence;Past Simple  Incidence'to be';Past Continuous Tense Incidence;Past Perfect Tense Incidence;Past Perfect Continuous Tense Incidence;Past Simple Passive Incidence;Past Continuous Passive Incidence;Past Perfect Passive Incidence;Future Simple Tense Incidence;Future Continuous Tense Incidence;Future Perfect Tense Incidence;Future Perfect Continuous Incidence;Future Simple Passive Incidence;Future Continuous Passive Incidence;Present Perfect Passive Incidence
MEDIAN;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,024390243902439025;0,0;0,0;0,041666666666666664;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9130434782608695;0,0;0,0;0,0;0,0;0,0;0,1276595744680851;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8064516129032258;0,0;0,0;0,08333333333333333;0,0;0,0;0,0;0,0;0,4166666666666667;0,47619047619047616;0,4;0,4;0,03278688524590164;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,027777777777777776;0,1111111111111111;0,42857142857142855;0,2;0,19642857142857142;0,07142857142857142;0,030303030303030304;0,06493506493506493;0,0;0,04;0,0;0,0;0,06060606060606061;0,09090909090909091;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,030303030303030304;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
MEAN;0,005080310076930512;2,1324234993069625e-05;0,00014749262536873156;0,00051185594030403;0,0;0,005526821899740085;0,0012438286191524428;4,1160732661041366e-05;0,0;0,0;0,00048270313757039417;0,00037926675094816683;0,0008055191265463268;0,0;0,0002949852507374631;0,0;0,0;0,01172286623230441;2,6028110359187923e-05;0,001426722404710159;0,0;0,0;0,0;0,0;0,0004890076368785606;0,00027945971122496507;0,00034166669394980123;0,0;0,0;0,0;0,0;0,0;0,052225962992629195;0,0018579003415252922;0,003334906438141097;0,0584894764277159;0,0;0,001140841619521571;0,07130385047733769;0,03892423508240914;0,19420901161082427;0,07018686127493871;0,04552561778098883;0,2639954880700454;0,017911855702169514;0,3025711998475915;0,023560600656777623;0,9056700011128337;0,005689828898673887;0,011553812844803854;0,01366724547387204;0,04209869960601629;0,041152692029145566;0,3401522732652268;0,019142793377506677;0,016359552078637343;0,013637127872016933;0,013458794701132547;0,014626772851339434;0,015937390695558776;0,013325774466121869;0,009378623961098134;0,012544995505750167;0,009646163584511978;0,01106057463776095;0,010923579029831078;0,8055316682239876;0,03208770167150959;0,008700852010484155;0,09250789769176229;0,016366298510467767;5,2056220718375845e-05;0,00032931623501051383;0,0;0,4407237239674026;0,46107131240012544;0,4230780763218379;0,4071825023550978;0,05368753820405015;0,032282752677439956;0,004259181185494404;0,002554395705688621;0,005345484424581401;0,012114326077524306;0,003932361766161656;0,006629445848243961;0,0038333346559072216;0,004687753414017234;0,00298816358735147;0,0013978121864639302;0,0023552660713257226;0,0009680075532248713;0,0028548413389685666;0,005375442730233459;0,004529008358677918;0,0023916525899138202;0,0015014635769582004;0,00155315026803039;0,0012344550575120433;0,0018538579137184319;0,0;0,0;0,0;0,0;0,00014270445897994954;0,0009868830385124884;0,00016339183040847956;0,0;5,47187916803296e-05;0,0;1,7699115044247787e-05;0,0002850671537356851;0,0015491639534553833;0,05579633410199386;0,1219076555428924;0,43855018476936397;0,20914320284145835;0,20979169131639583;0,08371090930628289;0,04797135059136981;0,07102626654493682;0,012925229994604657;0,04667189233919971;0,02913948613093329;0,006121245379916354;0,06383411960340471;0,09633966601761038;0,004171291482186742;0,015005975049107353;0,0022202381663539235;0,010119956969243315;0,0006116425155744836;0,026871111757701516;0,0019499074266778322;0,0514001036757419;0,030811548365903132;0,01035785232170615;0,0037701616542591913;0,0;0,004064812848899155;0,0;0,00010647863328758695;0,010782331145159283;0,0030806195184974305;0,0011430243854506394;0,0;0,0;0,002187663107990277;0,0;3,257505836364624e-05;0,009166839569360584;0,0005337756218735918;0,0004193417780091387;0,0;0,0006116425155744836;0,0;0,0
SD;0,030117123157825422;0,0005068712794116521;0,00350585968259726;0,00859613544572398;0,0;0,03140712736267364;0,015235096475501421;0,0009783794463062122;0,0;0,0;0,011473722597591034;0,009015067755250098;0,01022428811115762;0,0;0,00701171936519452;0,0;0,0;0,04048522796306341;0,0006186811204583401;0,017615915298529686;0,0;0,0;0,0;0,0;0,007549703089933408;0,006642681503868492;0,004103802117211661;0,0;0,0;0,0;0,0;0,0;0,08001963123198488;0,010837243061541196;0,021754659505046268;0,06645443106947387;0,0;0,007956094181300244;0,2118868269831405;0,15689278310141946;0,3455809559766396;0,20577773164753285;0,17798132913680417;0,3826702580457702;0,038631160620476696;0,394597654898332;0,04454419666953389;0,08907134272805399;0,047034328872822405;0,028883336308212697;0,09355896833587797;0,1609622661058417;0,17594870264827647;0,39366465281083135;0,07180905469065837;0,05880666169845584;0,05283559441059436;0,04603364414931857;0,04626130381976042;0,05301282732552984;0,04921678081899574;0,0406624952634121;0,04446414425723614;0,04375036613684539;0,04633236442072771;0,0670383403609189;0,13833223621474383;0,06809942384419959;0,04384001577492601;0,08867297857142879;0,0345445732325002;0,0012373622409166801;0,005327028385059859;0,0;0,14108625479673323;0,14693409801615576;0,14332591453970123;0,13871723397781308;0,06868734600880994;0,05315898343888239;0,018464589899438298;0,01670569345676311;0,018147889859957966;0,03159639648014463;0,017103086642560616;0,02180505330071471;0,016047121425182276;0,020833552232965912;0,016988254192274073;0,010818467103457921;0,0129411658573612;0,0075319115741563835;0,014097850100625177;0,0219848382468811;0,0198600810050167;0,01765036472260439;0,009967647901189482;0,010944104889931737;0,009676695327964327;0,01141473002106411;0,0;0,0;0,0;0,0;0,0017253764358264806;0,010606119680972692;0,0029358628709273554;0,0;0,0009410513892186849;0,0;0,00042070316191167127;0,0033076543160432447;0,00936912795896868;0,08079867834812371;0,09718232262643361;0,15701317720348168;0,10075333006341781;0,11296400604965581;0,09155094427430145;0,059830101895185096;0,06885771093865932;0,041800207042044714;0,05111192109419504;0,04322476047172751;0,02265016717040322;0,06119785093789164;0,0797936194792863;0,02590073605142914;0,042254833987328703;0,013903737971959162;0,03886011321670098;0,008665277274645673;0,06301869738028763;0,018870849337544293;0,06621267938005305;0,04776058885013894;0,04149676089050255;0,023596525253230125;0,0;0,025839502343161874;0,0;0,002008833717478976;0,03432444041354128;0,017093740360639872;0,010788379238107264;0,0;0,0;0,013887302396608165;0,0;0,0007743002979969409;0,037845736046452756;0,006923981284085336;0,006632216014969248;0,0;0,008665277274645673;0,0;0,0
1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,10526315789473684;0,0;0,0;0,10526315789473684;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8421052631578947;0,10526315789473684;0,8947368421052632;0,0;0,05263157894736842;0,0;0,0;0,0;0,3157894736842105;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,15789473684210525;0,7894736842105263;0,0;0,0;0,10526315789473684;0,0;0,0;0,0;0,0;0,5263157894736842;0,3157894736842105;0,5263157894736842;0,2631578947368421;0,10526315789473684;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,10526315789473684;0,15789473684210525;0,42105263157894735;0,15789473684210525;0,2631578947368421;0,15789473684210525;0,05263157894736842;0,0;0,0;0,10526315789473684;0,05263157894736842;0,0;0,05263157894736842;0,10526315789473684;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,10526315789473684;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,09090909090909091;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2727272727272727;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9090909090909091;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,45454545454545453;0,5454545454545454;0,45454545454545453;0,45454545454545453;0,18181818181818182;0,0;0,0;0,0;0,0;0,0;0,09090909090909091;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,18181818181818182;0,09090909090909091;0,5454545454545454;0,2727272727272727;0,2727272727272727;0,09090909090909091;0,0;0,0;0,0;0,0;0,09090909090909091;0,0;0,09090909090909091;0,18181818181818182;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,18181818181818182;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
100;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,125;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,875;0,125;0,0;0,0;0,0;0,0;0,0;0,0;0,375;0,625;0,375;0,625;0,125;0,0;0,0;0,0;0,0;0,0;0,125;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,5;0,25;0,125;0,25;0,0;0,125;0,0;0,0;0,125;0,0;0,0;0,125;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,125;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
101;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,14285714285714285;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,047619047619047616;0,0;0,0;0,09523809523809523;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9047619047619048;0,09523809523809523;0,9047619047619048;0,09523809523809523;0,9047619047619048;0,0;0,0;0,0;0,0;0,0;0,9047619047619048;0,0;0,0;0,0;0,0;0,0;0,14285714285714285;0,0;0,0;0,0;0,0;0,0;0,0;0,8571428571428571;0,047619047619047616;0,0;0,09523809523809523;0,047619047619047616;0,0;0,0;0,0;0,42857142857142855;0,47619047619047616;0,42857142857142855;0,42857142857142855;0,047619047619047616;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,047619047619047616;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,047619047619047616;0,047619047619047616;0,38095238095238093;0,19047619047619047;0,14285714285714285;0,09523809523809523;0,09523809523809523;0,047619047619047616;0,0;0,09523809523809523;0,047619047619047616;0,0;0,09523809523809523;0,047619047619047616;0,0;0,0;0,0;0,0;0,0;0,14285714285714285;0,0;0,0;0,047619047619047616;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
102;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,09523809523809523;0,0;0,0;0,047619047619047616;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;1,0;0,0;0,0;0,0;0,0;0,0;1,0;0,0;0,0;0,14285714285714285;0,0;0,0;0,14285714285714285;0,0;0,0;0,0;0,0;0,14285714285714285;0,0;0,9047619047619048;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,42857142857142855;0,5714285714285714;0,38095238095238093;0,5238095238095238;0,047619047619047616;0,047619047619047616;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,19047619047619047;0,6190476190476191;0,19047619047619047;0,19047619047619047;0,09523809523809523;0,047619047619047616;0,14285714285714285;0,0;0,047619047619047616;0,0;0,0;0,09523809523809523;0,14285714285714285;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,09523809523809523;0,0;0,047619047619047616;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
103;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,05;0,0;0,0;0,0;0,0;0,95;0,0;0,0;0,95;0,0;0,0;0,0;0,95;0,0;0,05;0,0;0,0;0,0;0,0;0,0;0,15;0,15;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,8;0,0;0,0;0,05;0,0;0,0;0,0;0,0;0,35;0,6;0,35;0,5;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,2;0,6;0,2;0,2;0,0;0,0;0,2;0,0;0,0;0,1;0,0;0,1;0,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,15;0,05;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
